,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
rushing_fumbles,-0.07397494545926035,0.08685058440429355,-0.14756129427852333,0.054126013836422605,0.006722581474329443,0.08918614377669387,0.01682257187847956,0.20617823881580258,-0.21438641383945872,0.015733245662682586,0.051203464415703004,0.046773033261040264,0.024432599350230108,0.09574740049454818,-0.04174291105597277,0.03241920834062972,0.07840242619693734,0.04982249360840362,0.025262439128123818,-0.040892220523682854,-0.016563400668465487,-0.04169576583903542,0.0318259381315642,0.02957782359189268,-0.07129203897801313,0.2109855677563885,0.08377436907764334,0.025409987078195223,-0.11658774765450879,-0.0848083180817815
rushing_fumbles_lost,-0.04213984879306809,0.053538121415594137,-0.18247268870708744,0.060899972928661145,0.007057373273179396,0.08623488653232285,0.02179439012451552,0.23567045532518247,-0.25858824409727216,0.0020521001521893118,0.03852424764333989,0.045620580625681965,0.036827317480144124,0.15079424580549755,-0.03518097625205694,0.029484688964467525,0.05061828536949447,0.00921921999590453,0.012781712149971087,0.050663245954876215,0.004178868368148507,0.03103363871487391,0.03178518743361176,-0.005551651947530326,-0.032414156330751884,-0.02214534835765718,-0.05695949474402253,-0.1493730736295591,0.34181597946925146,-0.09501470353370212
rushing_first_downs,-0.024958418062082814,0.05128949669246405,-0.27678187452232206,0.07979776740051585,0.04676925247014609,-0.003551045846085204,-0.013170321731897581,-0.032421685994805806,0.028603210750321652,0.012519566304822014,-0.015907568396782566,-0.009569731043715396,-0.02745840442674274,-0.08032527537883824,-0.009194030645928344,-0.02184034286532929,0.10422128047530019,-0.03352642022187429,0.050308850742476804,-0.0010362599807921126,-0.0047471565600117945,0.02360812651355982,0.01537984807394197,0.08167494817613845,-0.04252197499658282,-0.023883373618008106,0.061446805253797344,0.03123798872187233,-0.04602722659417923,0.07734431861706255
rushing_epa,0.001044618069064201,0.018935629992553594,0.1119415070253977,-0.016561583928902324,-0.005578554775838932,-0.03693904558340937,-0.030189511687270625,-0.18981500561982673,0.24152674598350518,0.07066715479344762,-0.004466858067841015,0.0024676925446838875,0.009616237240696084,-0.16104164938903676,0.13596102212944716,0.019395547650710214,0.2640072638970827,0.304560050733551,0.0992109243501537,-0.09985918990211773,-0.37985228776590513,-0.5127348052151696,0.020158139439163447,0.11137987520340481,-0.08398978136058431,-0.003738069168375304,-0.026243480123398655,0.02181627422378311,-0.02427311403883432,0.06769559694056375
rushing_2pt_conversions,-0.01767887532247985,0.030362690037421057,-0.07752135830828934,0.02695485028680054,0.028586220607899674,0.01363830433067469,-0.01805869232279309,-0.12276531276061442,0.1928110496945627,0.09641116849438422,0.5729010733713567,0.17539290728491946,0.14845431278372032,0.18222815863130326,0.03556203507476849,-0.0011443475666453149,-0.019283663970284717,-0.04787392681106836,-0.0009711004971462622,-0.018645753274396583,0.00532722959882679,0.028213530481970922,-0.004370010098497647,0.011492646979848094,-0.0020828913696170417,-0.0017130066743545906,-0.0039858176043414606,-0.01175572260499644,0.0018798079357676182,0.012871832056093472
receptions,0.13402025825384253,0.11060523135597071,-0.06060428391384901,-0.07604312579597812,-0.06318165006736769,0.011515958631742883,-0.003919635906494371,0.00512251740505999,0.039786691759339674,-0.02142865310246129,-0.013147403981060691,-0.010214704965728334,-0.015465403850401046,0.04100315983656917,-0.06022964112538712,0.007479737727814211,-0.04230184673473165,-0.04729315352626054,-0.08374876182808076,0.015693607971305007,-0.00990422832872925,-0.030247219023122492,0.052202467201885164,0.12044073413103405,-0.053458417826920956,0.014759615730325774,-0.07134387564325398,-0.006112247432504963,0.03569461825217503,0.08790200828774217
targets,0.13430095107770912,0.10903161584954546,-0.038741063103391114,-0.08579778141742571,-0.03018102607320917,0.014198411255271765,-0.0006247754417500217,0.020715351294042606,0.023769660914215958,-0.01720349647144839,-0.0072662717274735444,0.006889187716051246,0.03409398177045827,-0.003640203719059638,-0.04491647218168968,0.0006806887868207418,-0.0033645976525363158,-0.08485013487493476,-0.19983066638777086,0.03724192161176006,-0.04165585107369334,-0.05471038766460871,0.0765479515192981,0.10120802530653791,-0.017089024792843327,0.015128255752042874,-0.02962436273764186,-0.10209633585689926,-0.005897162758813337,0.10393414328232406
receiving_yards,0.13594382592249699,0.11629626499484738,-0.012383453423157094,-0.08231348294804287,-0.08145010947734206,0.019559591001033518,-0.018996269288751203,0.01548780346893004,0.036331614036193,-0.013781477055718958,-0.013046444184131199,-0.01708741773893286,0.007577631540458222,0.04605973476354856,-0.010112584871188147,0.01244971443744081,0.006231522350773002,0.02168677781672393,-0.017532355247746288,0.01919204801204569,0.00469304328606785,0.016321051469382928,0.0456496136678774,0.06613840545132889,-0.04922631490424965,0.0138091415952546,-0.05701370168154926,-0.032869549520826234,0.01280708914413135,0.07784646874918423
receiving_tds,0.11893720569223004,0.10611308278258766,0.015020447280580374,-0.06263604754887617,-0.11031612629470088,0.018928606548398657,-0.0637708111057178,-0.07245412174234102,-0.04643528506713971,-0.00393152307154307,0.005034283873830762,-0.008492459355295835,0.03609885960277758,0.024610764594172916,0.013248152637029026,0.015765549337572248,0.05700139494953305,0.0927073272540243,0.05331009848214097,0.080153783900501,0.1907924097248078,-0.04956676879468751,-0.11049077040491766,0.09132765938847627,0.3683603059681577,0.10027163932598539,-0.006128862592962289,-0.2802026054980633,-0.10397536611842258,0.14471068150785835
receiving_fumbles,0.06927734246762483,0.05534107960351316,-0.03924199835757182,-0.050664321130125416,-0.06555202666831007,-0.002173649384511273,0.42519426379346975,-0.09844345304410339,-0.0382218755832835,0.001283920320477793,-0.0025404100623358495,0.0008498272010674594,0.00318142654558916,0.010646277274079265,0.008805945965799797,0.0016198701915021644,-0.009550446852273216,0.020884637052741503,0.030390569194020427,-0.008417560376381113,0.0037521043087767486,0.05080761459069481,0.08361888886842889,0.21608336846004222,-0.05837073680965482,0.059642361821518435,-0.35755042812517457,0.04511058872289091,0.01874872278650209,0.0910805584653626
